table.field A	table.field B	range difference score
tss_calendars_d.bl_calendar_key	tss_workgroups_d.created_by	1.898502753100976	
tss_service_levels_d_v.created_by	tss_workgroups_d.sub_region_key	1.8361479537147312	
tss_service_levels_d_v.created_by	tss_workgroups_d.bl_workgroup_key	1.8361479537147312	
tss_service_levels_d_v.created_by	tss_workgroups_d.theater_key	1.8361479537147312	
tss_service_levels_d_v.last_update_by	tss_workgroups_d.sub_region_key	1.8350873041290756	
tss_service_levels_d_v.last_update_by	tss_workgroups_d.bl_workgroup_key	1.8350873041290756	
tss_service_levels_d_v.last_update_by	tss_workgroups_d.theater_key	1.8350873041290756	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.last_update_by	1.819867016541933	
tss_calendars_d.bl_calendar_key	tss_service_levels_d_v.created_by	1.8174247614654921	
tss_calendars_d.bl_calendar_key	tss_workgroups_d.workgroup_id	1.7965216405371451	
tss_calendars_d.bl_load_id	tss_service_levels_d_v.bl_service_level_key	1.7895442792501615	
tss_service_levels_d_v.service_region_id	tss_workgroups_d.sub_region_key	1.486687103280933	
tss_service_levels_d_v.service_region_id	tss_workgroups_d.bl_workgroup_key	1.486687103280933	
tss_service_levels_d_v.service_region_id	tss_workgroups_d.theater_key	1.486687103280933	
tss_service_levels_d_v.bl_load_id	tss_workgroups_d.sub_region_key	1.1714137015158916	
tss_service_levels_d_v.bl_load_id	tss_workgroups_d.bl_workgroup_key	1.1714137015158916	
tss_service_levels_d_v.bl_load_id	tss_workgroups_d.theater_key	1.1714137015158916	
tss_service_levels_d_v.business_process_id	tss_workgroups_d.sub_region_key	1.0094488608248398	
tss_service_levels_d_v.business_process_id	tss_workgroups_d.bl_workgroup_key	1.0094488608248398	
tss_service_levels_d_v.business_process_id	tss_workgroups_d.theater_key	1.0094488608248398	
tss_calendars_d.fiscal_year_id	tss_workgroups_d.sub_region_key	0.9577731167542034	
tss_calendars_d.fiscal_year_id	tss_workgroups_d.bl_workgroup_key	0.9577731167542034	
tss_calendars_d.fiscal_year_id	tss_workgroups_d.theater_key	0.9577731167542034	
tss_calendars_d.calendar_year_id	tss_workgroups_d.sub_region_key	0.9575567282494286	
tss_calendars_d.calendar_year_name	tss_workgroups_d.sub_region_key	0.9575567282494286	
tss_calendars_d.calendar_year_id	tss_workgroups_d.bl_workgroup_key	0.9575567282494286	
tss_calendars_d.calendar_year_name	tss_workgroups_d.bl_workgroup_key	0.9575567282494286	
tss_calendars_d.calendar_year_id	tss_workgroups_d.theater_key	0.9575567282494286	
tss_calendars_d.calendar_year_name	tss_workgroups_d.theater_key	0.9575567282494286	
tss_service_levels_d_v.bl_service_level_key	tss_workgroups_d.tech_id	0.4394776140630334	
