tss_calendars_d.bl_last_updated_by	i2r_8661	xxctsblrptg_o	xxctsblrptg_u
tss_service_levels_d_v.service_group_code	rtf	not available	standard	premium	mfg	error	not applicable
tss_service_levels_d_v.service_group_meaning	rtf	mfg new	premium	not available	standard	error	not applicable
tss_service_levels_d_v.service_level_code	prempl	rtf	ar	demo	not available	premp	mfg	sos	edu	error	not applicable	spur
tss_service_levels_d_v.service_level_group_desc	spur program - ship only next business day	scheduled	return & replace warranty return and next day ship	spares on site 4 hour	advance replacement warranty 10th business day	return & replace 10th business day	premium parts only 4 hour	advance replacement next calendar day	premium parts & labor next business day	not applicable	edu program - ship only next business day	advance replacement same day ship regional	premium parts only 2 hour	advance replacement warranty same day ship	spares on site next business day	advance replacement 10th business day	advance replacement same day ship	advance replacement 8th business day	mfg new 3rd business day	premium parts & labor 2 hour	premium parts & labor 4 hour	not available	advance replacement next business day	demo depot - advance replacement next business day	error
tss_service_levels_d_v.service_level_desc	not applicable	premium parts & labor	premium parts only	mfg new	demo depot - advance replacement	return & replace	spur program - ship only	not available	error	spares on site	edu program - ship only	advance replacement
tss_service_levels_d_v.business_process_name	rapid parts replacement	return to factory	onsite spares	hw parts same day ship	not available	internal mfg new replacement	internal recycle parts	onsite labor and replace parts	internal demo	error	not applicable	hardware parts replacement	internal education
tss_service_levels_d_v.business_process_desc	rapid parts replacement	return to factory	onsite spares	hw parts same day ship	not available	internal mfg new replacement	internal recycle parts	onsite labor and replace parts	internal demo	error	not applicable	hardware parts replacement	internal education
tss_service_levels_d_v.sdp_service_level	next calendar day	8th business day	scheduled	demo	return to factory (rtf)	10th business day	warranty same day ship	4 hour	sos	same day ship (sds)	mfg	edu	next business day (nbd)	not applicable	2 hour	spur	warranty return and next day ship	warranty 10th business day
